,company_name,status,country_code,state_code,days_in_op,first_funding_dayinop,sa_funded_daysop,cr_funded_daysop,ag_funded_daysop,ve_funded_daysop,CA,NY,MA,TX,WA,founded_month,ave_inf_y,sa_raised_amount_usd_adj,ag_raised_amount_usd_adj,ve_raised_amount_usd_adj,cr_raised_amount_usd_adj,software,Biotech,health,web,mobile,enterprise,hardware,advertising,security,manufacturing,social,semiconductor,medical,consulting,education,search,messaging,news,transportation,fashion
7977,Pulaski Bank,ipo,USA,MO,34305.0,33780.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.696969697,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7979,Pulmatrix,operating,USA,MA,4720.0,2261.0,2261.0,0.0,0.0,0.0,0,0,1,0,0,1,17.58181818,2555000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,Pulsar Vascular,operating,USA,CA,3989.0,1927.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,18.72727273,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7981,Pulse Electronics,acquired,USA,CA,25174.0,24065.0,24073.0,0.0,0.0,24065.0,1,0,0,0,0,1,1.252525253,9241650.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7982,Pulse Entertainment,acquired,USA,CA,8007.0,4828.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,13.96969697,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7986,Punch Entertainment,closed,USA,CA,3860.0,293.0,293.0,0.0,0.0,0.0,1,0,0,0,0,5,18.72727273,936000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7988,Puppet Labs,operating,USA,OR,3989.0,1634.0,1634.0,0.0,0.0,0.0,0,0,0,0,0,1,18.72727273,1560000.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7989,Purdue Research Foundation,operating,USA,IN,31383.0,30672.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.686868687,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7990,Purdue University,operating,USA,IN,53537.0,53107.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7991,PURE Bioscience,ipo,USA,CA,8738.0,6887.0,0.0,0.0,7502.0,7297.0,1,0,0,0,0,1,13.17171717,0.0,364140.00000000006,126000.00000000001,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7992,Pure Digital Technologies,acquired,USA,CA,5207.0,387.0,0.0,0.0,2543.0,852.0,1,0,0,0,0,9,16.88888889,0.0,140000.0,19600000.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7993,Pure Energy Solutions,operating,USA,CO,3989.0,1510.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,18.72727273,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7994,Pure Networks,acquired,USA,WA,5085.0,863.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,17.16969697,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7995,PureWave Networks,acquired,USA,CA,4720.0,2164.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,17.58181818,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7997,Brainspace Corporation,operating,USA,TX,3989.0,3176.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,18.72727273,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7998,PureEnergy Solutions,closed,USA,CO,3989.0,1773.0,0.0,0.0,0.0,1773.0,0,0,0,0,0,1,18.72727273,0.0,0.0,4680000.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7999,PurePlay,operating,USA,CA,4050.0,849.0,0.0,0.0,0.0,849.0,1,0,0,0,0,11,18.08080808,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000,Pureprint,operating,USA,WI,32844.0,32437.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.787878788,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
